% Model:              pcal_mirror_deformation_2d.mph
% Version:            COMSOL 5.6.0.401
% Date:               May 5 2026, 11:39
% Dimension:          1
% Nodes:              2251
% Expressions:        4
% Description:        Line graph
% R                       Height                   Height                   Height                   Height
0.002833333333333334      8.162118508656144E-10    4.905049154626448E-10    2.442134309852887E-10    8.197500552409851E-11
0.002866666666666667      8.109912366301274E-10    4.895814856648019E-10    2.4408760779905223E-10   8.196716667649014E-11
0.0029000000000000002     8.057649006905051E-10    4.88649904778628E-10     2.4396040876455723E-10   8.195923726599374E-11
0.002933333333333334      8.005344992581483E-10    4.877100588859532E-10    2.4383181771442254E-10   8.195121677636157E-11
0.002966666666666667      7.953020627321168E-10    4.867623100839803E-10    2.437018601684456E-10    8.194310582559803E-11
0.003                     7.90067541572303E-10     4.858066564100808E-10    2.435705360632957E-10    8.193490441298963E-11
0.0030333333333333336     7.848327279686452E-10    4.848429934589303E-10    2.434378294479775E-10    8.19266120222863E-11
0.0030666666666666668     7.795993731486195E-10    4.838716777250237E-10    2.4330376584464555E-10   8.191822927286108E-11
0.0031                    7.74367427068761E-10     4.828927071890319E-10    2.431683451880374E-10    8.190975616397829E-11
0.0031333333333333335     7.691388246076068E-10    4.819059864249406E-10    2.430315516304656E-10    8.190119217528505E-11
0.003166666666666667      7.639150070997314E-10    4.809118693357709E-10    2.428934110900528E-10    8.189253793957569E-11
0.0032                    7.586959243043433E-10    4.799103538515111E-10    2.4275392349967855E-10   8.188379345609226E-11
0.0032333333333333337     7.534835884103093E-10    4.789013455720905E-10    2.426130725498112E-10    8.187495818642021E-11
0.0032666666666666664     7.482792005024081E-10    4.778851992893475E-10    2.4247088472467283E-10   8.18660327799414E-11
0.0033                    7.430827101991612E-10    4.768619128732642E-10    2.423273599548688E-10    8.185701723587204E-11
0.0033333333333333335     7.378961994478668E-10    4.758313988968761E-10    2.4218248201437356E-10   8.184791101286346E-11
0.0033666666666666667     7.327206278308716E-10    4.747940089965271E-10    2.420362776311016E-10    8.18387147682917E-11
